"record_type","client_name","client_type","segment","buyer_type","stage_fit","offer_fit","geography_fit","company_size_fit","buyer_titles","main_pain","urgency_signals","disqualifiers","primary_package_fit","secondary_package_fit","outreach_priority","source_reference","notes"
"segment_archetype","Archetype - Founder-led B2B SaaS without marketing hire","software_company","B2B SaaS and AI SaaS","founder_or_ceo","Seed with no marketing hire","High","US / Canada / UAE; California / Texas / New York / Massachusetts first","10-50 ideal; 51-200 acceptable","Founder; Co-Founder; CEO","Needs founder visibility plus a simple content and SEO base without hiring a full team","Founder-led motion; active LinkedIn; first blog or resource center; clear push for traction","No traction; no visible marketing activity; enterprise with large in-house team","Foundation","Engine","P1 - First Wave","outreach_services_icp.md; outputmarketing/src/pages/Home.tsx; outputmarketing/src/pages/Pricing.tsx","Archetype synthesized from the site ICP and outreach docs; all qualified leads should still start through the 30-day pilot."
"segment_archetype","Archetype - Lean B2B SaaS or AI SaaS marketing team","software_company","B2B SaaS and AI SaaS","head_of_marketing_or_growth","Seed to Series A lean team","High","US / Canada / UAE; California / Texas / New York / Massachusetts first","11-50 ideal; 51-200 strong fit; 201-500 allowed if signal-rich","Head of Marketing; VP Marketing; Marketing Director; Growth Marketing Manager","Team is shipping but needs outside execution across content, SEO, social, and launches","Active blog; case studies; launches; webinars; marketing hiring; strong LinkedIn motion","No marketing motion; pre-traction startup; enterprise-scale in-house team","Engine","Full Stack","P1 - First Wave","outreach_services_icp.md; clay_outreach_process.md; icp_rundown_agency_targets.md","Core archetype for first-wave outreach."
"segment_archetype","Archetype - Revenue, sales, or customer-facing software","software_company","Revenue / Sales / Customer Software","head_of_marketing_or_growth","Growth-stage lean team","High","US / Canada / UAE","11-50 ideal; 51-200 strong fit; 201-500 acceptable with clear GTM urgency","Head of Marketing; Demand Generation Manager; Growth Marketing Manager; Product Marketing Manager","Needs content and campaign execution tied more clearly to pipeline, demos, and customer acquisition","Demo-heavy GTM language; webinars; launches; customer stories; demand gen hiring","Weak product-led motion; consulting-heavy positioning; no visible content or launch activity","Engine","Full Stack","P1 - First Wave","outreach_services_icp.md; clay_outreach_process.md; icp_rundown_agency_targets.md","Core commercial sub-segment because the value proposition maps directly to revenue language."
"segment_archetype","Archetype - Workflow, ops, and automation software","software_company","Workflow / Ops / Automation Software","product_marketing_or_content_lead","Seed to Series A lean team","High","US / Canada / UAE","11-50 ideal; 51-200 strong fit; 201-500 allowed with strong launch motion","Product Marketing Manager; Head of Content; CEO; Head of Marketing","Technical product needs clearer messaging, launch follow-through, and ongoing market-facing execution","Feature releases; roadmap updates; technical blog; documentation with weak narrative; lean GTM team","No GTM motion; services-heavy company; implementation-led firm","Engine","Full Stack","P2 - Second Wave","outreach_services_icp.md; clay_outreach_process.md; icp_rundown_agency_targets.md","Still core, but usually sits behind the highest-intent SaaS and revenue software targets unless urgency is very clear."
"segment_archetype","Archetype - Analytics, data, and infrastructure software","software_company","Analytics / Data / Infrastructure Software","product_marketing_or_content_lead","Series A/B content engine","High","US / Canada / UAE","11-50 ideal; 51-200 strong fit; 201-500 acceptable with clear content ops need","Product Marketing Manager; Head of Content; SEO Manager; Head of Marketing","Needs technical content, market translation, and stronger distribution to turn product depth into demand","Thought-leadership content; technical SEO need; research or product education motion; launch cadence","No visible audience-building; pure services delivery; enterprise-scale internal team","Full Stack","Engine","P1 - First Wave","outreach_services_icp.md; clay_outreach_process.md; icp_rundown_agency_targets.md","High-fit technical software bucket, especially when attribution and distribution matter."
"segment_archetype","Archetype - Boutique agency needing white-label support","agency_partner","Boutique Agency White-Label","agency_owner_or_ops","Agency partner","Custom","US / Canada / UAE","5-25 ideal; 26-50 acceptable","Founder; Agency Owner; Operations Director; Client Services Director","Needs reliable execution capacity without adding payroll","Existing client roster; content deliverables already sold; overflow work; need for reporting or creative support","Large full-service shop with deep in-house bench; no white-label willingness; pure strategy-only agency","White-Label / Capacity Track","Project Track","P2 - Second Wave","outreach_services_icp.md; clay_outreach_process.md; execution_roadmap.md","Adjacent ICP that should route to a custom scope instead of forcing the public tier structure."
"segment_archetype","Archetype - B2B service business with active marketing motion","service_business","B2B Service Business with Active Marketing Motion","head_of_marketing_or_growth","Growth-stage lean team","Medium","US / Canada / UAE","10-50 ideal; 51-200 acceptable","Founder; CEO; Head of Marketing; Content Marketing Manager","Visible demand-gen motion exists, but execution is inconsistent and the team is still lean","Active blog; webinars; case studies; LinkedIn activity; content hiring","No visible marketing; referral-only business; consulting-first need that does not map to the offer","Engine","Project Track","P2 - Second Wave","outreach_services_icp.md; execution_roadmap.md","Adjacent segment kept open internally, but below the software core."
"segment_archetype","Archetype - Education or EdTech with clear content motion","education_company","Education / EdTech with Clear Content Motion","head_of_marketing_or_growth","Growth-stage lean team","Medium","US / Canada / UAE","10-50 ideal; 51-200 acceptable","Founder; Head of Marketing; Content Lead; SEO Manager","Needs consistent content, SEO, and launch support but is not the primary public ICP","Resource center; webinars; organic acquisition motion; founder or brand content","No active content program; consumer-only education brand; very early operation","Engine","Project Track","P2 - Second Wave","outreach_services_icp.md; icp_rundown_agency_targets.md; execution_roadmap.md","Useful adjacent lane, but should not displace B2B SaaS in the queue."
"segment_archetype","Archetype - Selected DTC brand with content and social execution need","dtc_brand","Selected DTC Brand with Content/Social Need","brand_or_social_lead","Growth-stage lean team","Custom","US / Canada / UAE","10-50 ideal; 51-200 acceptable","Founder; Brand Director; Social Media Manager; Content Lead","Needs content and social execution support, but the offer only fits when influencer or paid media are not the main gaps","Consistent social presence; content engine exists but execution is stretched; email or campaign calendar","Influencer-first need; paid ads as main pain; heavy creative production dependence","Project Track","White-Label / Capacity Track","P3 - Monitor","outreach_services_icp.md; clay_outreach_process.md; execution_roadmap.md","Kept as a controlled adjacent case, not as standard outreach."
"example_company","Anyword","software_company","B2B SaaS and AI SaaS","head_of_marketing_or_growth","Growth-stage lean team","High","Target geography to validate; US / Canada / UAE preferred","10-200 preferred; 201-500 acceptable with strong fit","Founder; CEO; Head of Marketing; Product Marketing Manager","Likely needs ongoing thought leadership, product storytelling, and SEO support to convert product visibility into pipeline","Named as a strong sample target; AI SaaS motion implies launches, feature education, and content demand","No visible marketing motion after validation; enterprise-scale in-house team; service-led pivot","Engine","Full Stack","P1 - First Wave","icp_rundown_agency_targets.md; icp_rundown_agency_targets.csv","Example company named in the source material; stage, geography, and package fit are inferred from segment-level guidance and should be validated before outreach."
