organization,relationship_type,services_delivered_summary,package_equivalent_primary,package_equivalent_secondary,confidence,evidence_type,notes
Archive.com,"in-house Marketing Manager; public case study (Radar Feature Launch)","Launch positioning, audience segmentation, LinkedIn/email/Slack/direct outreach, waitlist mechanic, upsell tracking",Project Track,Engine,high,"public case study + portfolio","Equivalent proof only; strongest for launch sprint or pilot debrief, not a literal current package sale."
Archive.com,"in-house Marketing Manager; public case study (AI Insider Newsletter)","3-tier segmentation, newsletter program, email/LinkedIn/Slack/blog coordination, retention-oriented content cadence",Engine,Project Track,medium,"public case study + portfolio","Good proof of recurring content systems and segmentation; not literal proof of SEO-heavy scope."
Archive.com,"in-house Marketing Manager; public case study (LinkedIn Content Strategy)","Brand voice development, content pillars, consistent posting cadence, post-level KPI tracking",Engine,Foundation,high,"public case study + work page","Secondary Foundation relevance is partial because the public proof is brand-led thought leadership, not founder ghostwriting."
Archive.com,"in-house Marketing Manager; public case study (Product Marketing Campaign)","Product marketing for two campaigns, campaign dashboard, end-to-end tracking, workflow coordination",Full Stack,Project Track,medium,"public case study + work page","Useful as partial Full Stack proof because measurement and distribution are present; no public technical SEO proof."
Fireflies.ai,"in-house Influencer Marketing Manager credential","Built and ran influencer-program operations, creator coordination, campaign measurement, launch support",Project Track,White-Label / Capacity Track,medium,"public site credential + portfolio context","Best used as execution credibility, not as the main proof for the current core packages."
Airwallex,"campaign/account work executed while at Fireflies.ai (Series G Funding Campaign)","39-creator funding announcement campaign, messaging coordination, performance tracking",Project Track,White-Label / Capacity Track,high,"public portfolio summary","Strong distribution and campaign-coordination proof; not a content/SEO package analogue."
Airwallex,"campaign/account work executed while at Fireflies.ai ($1B ARR Milestone Campaign)","Creator selection, growth messaging, milestone positioning, campaign performance tracking",Project Track,White-Label / Capacity Track,medium,"public portfolio summary","Useful supporting proof for announcement campaigns; smaller scope than the Series G example."
Apollo.io,"campaign/account work; portfolio summary plus internal KB","Product/inbound campaign research, positioning, partner or influencer discovery and selection, qualified-lead-focused messaging",Project Track,White-Label / Capacity Track,medium,"public portfolio summary + internal KB","Keep framing NDA-safe; do not over-claim full public case-study depth."
Interrupt Media,"agency-side Senior Content Writer","B2B writing across 10+ North American companies, editorial adaptation, messaging execution",White-Label / Capacity Track,Engine,medium,"internal KB only","Strong modular proof for content production and white-label-style delivery; not full package proof."
StudySmarter,"EdTech content-marketing research experience","Education-sector content research and messaging support",White-Label / Capacity Track,Engine,low,"internal KB only","Use only when EdTech context matters; no public metrics or detailed deliverables in repo."
ZENIQ_Corp,"prior in-house Marketing Manager experience","Documented as prior in-house SaaS experience in Dubai; specific deliverables not detailed in current repo",Not mappable yet,,low,"partial public credential + internal role history","Keep as credibility for SaaS and operator exposure only until concrete services are documented."
